Product ID,Name,Model,SKU,Description,Meta Tag Description,Meta Tag Keywords,Tags,UPC,EAN,JAN,ISBN,MPN,Price,Location,Status,Tax Class,Quantity,Minimum Quantity,Image,Subtract Stock,Out Of Stock Status,Requires Shipping,SEO Keyword,Date Available,Length,Width,Height,Length Class,Weight,Weight Class,Sort Order,Reward Points,Manufacturer,Categories,Filters,Stores,Downloads,Related Products,Meta Title
,Ak Bread Crumbs Hot And Spicy,ALM044,40232825576.0,Ak Bread Crumbs Hot And Spicy,Ak Bread Crumbs Hot And Spicy, , ,,,,,,136.8875,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK BREAD CRUMBS HOT AND SPICY.jpg,Yes,,,ak-bread-crumbs-hot-and-spicy,29/08/2023,,,,,,,44.0,,AL Maya,475.0,,0.0,,,Ak Bread Crumbs Hot And Spicy
,Ak Bread Crumbs Italian,ALM045,40232825569.0,Ak Bread Crumbs Italian,Ak Bread Crumbs Italian, , ,,,,,,138.0,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK BREAD CRUMBS ITALIAN.jpg,Yes,,,ak-bread-crumbs-italian,29/08/2023,,,,,,,45.0,,AL Maya,475.0,,0.0,,,Ak Bread Crumbs Italian
,Ak Bread Crumbs Plain,ALM046,40232825590.0,Ak Bread Crumbs Plain,Ak Bread Crumbs Plain, , ,,,,,,121.275,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK BREAD CRUMBS PLAIN.jpg,Yes,,,ak-bread-crumbs-plain,29/08/2023,,,,,,,46.0,,AL Maya,475.0,,0.0,,,Ak Bread Crumbs Plain
,Ak Calrose Rice,ALM047,40232825262.0,Ak Calrose Rice,Ak Calrose Rice, , ,,,,,,148.75,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK CALROSE RICE.jpg,Yes,,,ak-calrose-rice,29/08/2023,,,,,,,47.0,,AL Maya,475.0,,0.0,,,Ak Calrose Rice
,Ak Chick Peas,ALM048,40232922022.0,Ak Chick Peas,Ak Chick Peas, , ,,,,,,85.3875,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK CHICK PEAS.jpg,Yes,,,ak-chick-peas,29/08/2023,,,,,,,48.0,,AL Maya,475.0,,0.0,,,Ak Chick Peas
,Ak Chicken Vienna Sausages,ALM049,40232825743.0,Ak Chicken Vienna Sausages,Ak Chicken Vienna Sausages, , ,,,,,,237.5,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK CHICKEN VIENNA SAUSAGES.jpg,Yes,,,ak-chicken-vienna-sausages,29/08/2023,,,,,,,49.0,,AL Maya,475.0,,0.0,,,Ak Chicken Vienna Sausages
,Ak Chilli Mayonnaise Usd,ALM050,40232825903.0,Ak Chilli Mayonnaise Usd,Ak Chilli Mayonnaise Usd, , ,,,,,,98.125,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK CHILLI MAYONNAISE USD.jpg,Yes,,,ak-chilli-mayonnaise-usd,29/08/2023,,,,,,,50.0,,AL Maya,475.0,,0.0,,,Ak Chilli Mayonnaise Usd
,Ak Chocolate Syrup,ALM051,40232825842.0,Ak Chocolate Syrup,Ak Chocolate Syrup, , ,,,,,,151.25,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK CHOCOLATE SYRUP.jpg,Yes,,,ak-chocolate-syrup,29/08/2023,,,,,,,51.0,,AL Maya,414.0,,0.0,,,Ak Chocolate Syrup
,Ak Coconut Milk,ALM052,40232922602.0,Ak Coconut Milk,Ak Coconut Milk, , ,,,,,,126.25,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK COCONUT MILK.jpg,Yes,,,ak-coconut-milk,29/08/2023,,,,,,,52.0,,AL Maya,575.0,,0.0,,,Ak Coconut Milk
,Ak Corned Beef,ALM053,40232825194.0,Ak Corned Beef,Ak Corned Beef, , ,,,,,,369.6,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK CORNED BEEF.jpg,Yes,,,ak-corned-beef,29/08/2023,,,,,,,53.0,,AL Maya,935.0,,0.0,,,Ak Corned Beef
,Ak Creamy Peanut Butter,ALM054,40232825460.0,Ak Creamy Peanut Butter,Ak Creamy Peanut Butter, , ,,,,,,173.25,AL Maya Group,,Taxable Good,100.0,1.0,catalog/products/AK CREAMY PEANUT BUTTER.jpg,Yes,,,ak-creamy-peanut-butter,29/08/2023,,,,,,,54.0,,AL Maya,936.0,,0.0,,,Ak Creamy Peanut Butter
,,,,,,,,,,,,,,,,,,,catalog/products/AK CREAMY PEANUT BUTTER LITE.jpg,,,,,,,,,,,,,,,,,,,,
